country,pop,lifeExp,gdpPercap,total_emissions,per_capita_emissions
Libya,6036914,73.952,12057.49928,43101.459,7.44
Malaysia,24821286,74.241,12451.6558,155842.735,6.074
Mauritius,1250882,72.801,10956.99112,2961.755,2.412
Mexico,108700891,76.195,11977.57496,412385.135,3.854
Mongolia,2874127,66.803,3095.772271,10984.928,4.349
Montenegro,684736,74.543,9253.896111,2004.798,3.265
Morocco,33757175,71.164,3820.17523,39215.868,1.285
Mozambique,19951656,42.082,823.6856205,1514.919,0.072
Myanmar,47761980,62.069,944,10477.314,0.216
Namibia,2055080,52.906,4811.060429,2492.652,1.227
Nepal,28901790,63.785,1091.359778,3074.201,0.12
Netherlands,16570613,79.762,36797.93332,167489.66,10.263
New Zealand,4115771,80.204,25185.00911,33690.287,8.122
Nicaragua,5675356,72.899,2749.320965,4032.083,0.75
Niger,12894865,56.867,619.6768924,736.144,0.054
Nigeria,135031164,46.859,2013.977305,56558.056,0.407
Norway,4627926,80.196,49357.19017,34500.489,7.463
Oman,3204897,75.64,22316.19287,25181.794,10.029
Pakistan,169270617,65.483,2605.94758,114969.678,0.747
Panama,3242173,75.537,9809.185636,6776.118,2.035
Paraguay,6667147,71.752,4172.838464,3472.665,0.599
Peru,28674757,71.421,7408.905561,28632.888,1.037
Philippines,91077287,71.688,3190.481016,71501.652,0.829
Poland,38518241,75.563,15389.92468,296261.105,7.763
Portugal,10642836,78.098,20509.64777,61385.798,5.845
Romania,22276056,72.476,10808.47561,92632.653,4.345
Saudi Arabia,27601038,72.777,21654.83194,298036.626,12.467
Senegal,12267493,63.062,1712.472136,4626.203,0.411
Serbia,10150265,74.002,9786.534714,50320.015,6.763
Singapore,4553009,79.972,47143.17964,36901.353,8.65
Slovenia,2009245,77.926,25768.25759,15443.058,7.718
South Africa,43997828,49.339,9269.657808,372313.634,7.626
Spain,40448191,80.941,28821.0637,333710.098,7.643
Sri Lanka,20378239,72.396,3970.095407,13392.91,0.686
Sudan,42292929,58.556,2602.394995,9927.598,0.254
Sweden,9031088,80.884,33859.74835,49105.656,5.438
Switzerland,7554661,81.701,37506.41907,44006.757,5.882
Thailand,65068149,70.616,7458.396327,200203.804,3.06
Togo,5701579,58.42,882.9699438,963.204,0.169
Trinidad and Tobago,1056608,69.819,18008.50924,17175.823,13.243
Tunisia,10276158,73.923,7092.923025,19472.77,1.928
Turkey,71158647,71.777,8458.276384,215892.986,3.155
United Kingdom,60776238,79.425,33203.26128,531648.669,8.8
Uruguay,3447496,76.384,10611.46299,5151.871,1.549
Zambia,11746035,42.384,1271.211593,2120.692,0.176
Zimbabwe,12311143,43.487,469.7092981,10272.774,0.794
